epoch,train_loss,train_acc,val_loss,val_acc,monitored,best_epoch
236,0.649174,1.0,1.103555,0.82,val_loss,187
237,0.646903,1.0,1.127196,0.77,val_loss,187
238,0.649894,1.0,1.012944,0.84,val_loss,187
239,0.659702,1.0,1.105592,0.82,val_loss,187
240,0.66464,1.0,1.109008,0.79,val_loss,187
241,0.669015,0.9975,1.07254,0.82,val_loss,187
242,0.663112,1.0,1.043702,0.84,val_loss,187
243,0.656358,1.0,1.138715,0.79,val_loss,187
244,0.659266,1.0,1.081083,0.81,val_loss,187
245,0.655905,1.0,1.082734,0.83,val_loss,187
246,0.658345,1.0,1.137455,0.79,val_loss,187
247,0.658142,1.0,1.021354,0.85,val_loss,187
